,D,E,F,G,H,I,J,Total_R
Fair,0,4,3,2,3,0,1,13
Good,3,10,6,3,5,3,4,34
Ideal,11,19,17,19,7,13,3,89
Premium,11,23,15,12,11,9,1,82
Very Good,16,16,16,7,15,5,7,82
Total_C,41,72,57,43,41,30,16,300
,,,,,,,,
,,,,,,,,
,,,Expected,,,,,
,1.776666667,3.12,2.47,1.863333333,1.776666667,1.3,0.693333333,
,4.646666667,8.16,6.46,4.873333333,4.646666667,3.4,1.813333333,
,12.16333333,21.36,16.91,12.75666667,12.16333333,8.9,4.746666667,
,11.20666667,19.68,15.58,11.75333333,11.20666667,8.2,4.373333333,
,11.20666667,19.68,15.58,11.75333333,11.20666667,8.2,4.373333333,
,,,,,,,,
,,,ChiSquare (observed-expected)^2/expected,,,,,
,1.776666667,0.248205128,0.113724696,0.010023852,0.842332708,1.3,0.135641026,
,0.583538977,0.414901961,0.032755418,0.720118559,0.026867527,0.047058824,2.636862745,
,0.111264273,0.260749064,0.000479007,3.055595331,2.191834293,1.888764045,0.642734082,
,0.003811223,0.560081301,0.021591784,0.005176782,0.003811223,0.07804878,2.60199187,
,2.050212175,0.688130081,0.011322208,1.922363396,1.284001586,1.248780488,1.577601626,
,,,,,,,,29.09704271
